City,Lat,Lng,Max Temp,Humidity,Cloudiness,Current Description,Wind Speed,Country,Date
port elizabeth,-33.918,25.5701,60.31,81,64,broken clouds,1.01,ZA,1651176015
ouesso,1.6136,16.0517,71.2,97,40,light rain,2.08,CG,1651176020
khani,41.9563,42.9566,45.97,95,100,overcast clouds,3.96,GE,1651176020
mataura,-46.1927,168.8643,40.6,99,16,few clouds,1.68,NZ,1651176020
shirokiy,49.758,129.523,35.04,61,18,few clouds,9.69,RU,1651176021
vila franca do campo,37.7167,-25.4333,63.19,95,100,moderate rain,29.26,PT,1651176021
iqaluit,63.7506,-68.5145,19.13,73,75,light snow,18.01,CA,1651176022
veraval,20.9,70.3667,82.8,75,0,clear sky,11.77,IN,1651176022
cape town,-33.9258,18.4232,60.91,86,20,few clouds,9.22,ZA,1651175787
coahuayana,18.7333,-103.6833,91.27,42,0,clear sky,8.57,MX,1651176023
acarau,-2.8856,-40.12,80.58,83,87,overcast clouds,10.94,BR,1651176023
new norfolk,-42.7826,147.0587,58.5,86,0,clear sky,3.47,AU,1651176024
hamilton,39.1834,-84.5333,64.24,47,86,overcast clouds,3.0,US,1651176000
lavrentiya,65.5833,-171.0,29.35,88,78,broken clouds,10.38,RU,1651176084
georgetown,5.4112,100.3354,80.55,88,20,few clouds,2.3,MY,1651175866
port hardy,50.6996,-127.4199,45.75,71,100,overcast clouds,4.18,CA,1651176085
iznoski,54.9881,35.3108,34.7,96,100,overcast clouds,1.86,RU,1651176085
ferreira do alentejo,38.05,-8.0333,60.44,56,29,scattered clouds,5.93,PT,1651176086
nemuro,43.3236,145.575,39.42,70,100,overcast clouds,15.66,JP,1651176086
katsuura,35.1333,140.3,59.34,85,100,overcast clouds,9.93,JP,1651176087
longyearbyen,78.2186,15.6401,10.24,52,40,scattered clouds,20.71,SJ,1651176017
berlevag,70.8578,29.0864,24.75,63,75,broken clouds,31.07,NO,1651176087
belmonte,-15.8631,-38.8828,76.95,84,5,clear sky,9.42,BR,1651176088
tasiilaq,65.6145,-37.6368,37.56,83,7,clear sky,6.49,GL,1651176088
tela,15.7833,-87.45,82.92,69,99,overcast clouds,8.19,HN,1651176089
brejo da madre de deus,-8.1458,-36.3711,75.74,70,89,overcast clouds,14.43,BR,1651176089
alanya,36.5438,31.9998,69.55,55,2,clear sky,2.82,TR,1651176013
sao filipe,14.8961,-24.4956,72.28,71,0,clear sky,11.68,CV,1651176090
arraial do cabo,-22.9661,-42.0278,84.16,65,0,clear sky,19.57,BR,1651175875
kristiinankaupunki,62.2743,21.376,32.45,87,15,few clouds,5.23,FI,1651176091
riyadh,24.6877,46.7219,74.93,49,100,overcast clouds,4.92,SA,1651176091
fairbanks,64.8378,-147.7164,51.1,44,80,broken clouds,1.01,US,1651175883
tuktoyaktuk,69.4541,-133.0374,12.67,90,98,overcast clouds,8.05,CA,1651176092
dunedin,-45.8742,170.5036,50.81,87,1,clear sky,1.01,NZ,1651175817
keffi,8.8486,7.8736,82.06,56,62,broken clouds,2.98,NG,1651176093
waipawa,-41.4122,175.5153,50.67,76,88,overcast clouds,2.84,NZ,1651176093
ulaangom,49.9811,92.0667,42.03,39,75,broken clouds,0.98,MN,1651176094
severo-kurilsk,50.6789,156.125,33.17,95,100,snow,19.8,RU,1651176094
saldanha,-33.0117,17.9442,59.25,91,0,clear sky,13.35,ZA,1651176094
pochutla,15.7432,-96.4661,92.82,50,43,scattered clouds,9.53,MX,1651176095
saint-joseph,-21.3667,55.6167,73.78,80,16,few clouds,3.74,RE,1651176095
khatanga,71.9667,102.5,10.58,95,97,overcast clouds,7.0,RU,1651176096
dawei,14.0833,98.2,78.69,90,100,moderate rain,3.53,MM,1651176096
sao joao da barra,-21.6403,-41.0511,78.08,82,19,few clouds,12.19,BR,1651176097
san jose,37.3394,-121.895,66.0,48,75,broken clouds,11.5,US,1651175823
ahipara,-35.1667,173.1667,57.78,86,7,clear sky,7.09,NZ,1651176097
oytal,42.9057,73.2697,55.83,45,90,overcast clouds,7.02,KZ,1651176098
pevek,69.7008,170.3133,19.76,97,100,overcast clouds,2.21,RU,1651176098
san pedro,14.35,121.0167,82.26,77,93,overcast clouds,9.62,PH,1651176099
petropavlovsk-kamchatskiy,53.0452,158.6483,32.59,100,75,light snow,6.71,RU,1651176099
lompoc,34.6391,-120.4579,72.79,58,0,clear sky,18.99,US,1651176085
vao,-22.6667,167.4833,71.91,78,100,overcast clouds,25.97,NC,1651176099
lebu,-37.6167,-73.65,54.18,68,9,clear sky,14.7,CL,1651176100
road town,18.4167,-64.6167,76.82,59,62,broken clouds,10.76,VG,1651176100
wajima,37.4,136.9,52.39,71,100,overcast clouds,17.18,JP,1651175806
bethel,41.3712,-73.414,56.57,30,7,clear sky,8.01,US,1651176101
cayenne,4.9333,-52.3333,87.84,1,40,scattered clouds,13.8,GF,1651176101
itacare,-14.2775,-38.9967,78.15,78,0,clear sky,5.99,BR,1651176102
florianopolis,-27.6146,-48.5012,81.12,81,40,scattered clouds,35.68,BR,1651176026
leshukonskoye,64.8989,45.7622,24.85,87,16,few clouds,7.54,RU,1651176162
kaspiyskiy,45.3929,47.3707,64.11,63,26,scattered clouds,4.85,RU,1651176163
hateg,45.6167,22.95,46.99,93,71,broken clouds,0.87,RO,1651176163
eravur,7.7733,81.6095,81.07,85,98,overcast clouds,4.9,LK,1651176164
resistencia,-27.4606,-58.9839,72.09,72,100,overcast clouds,8.63,AR,1651176164
yantal,56.8471,105.2542,25.79,94,88,overcast clouds,3.76,RU,1651176165
saint george,37.1041,-113.5841,84.63,12,0,clear sky,14.97,US,1651176166
moron,-34.6534,-58.6198,61.97,26,1,clear sky,7.56,AR,1651176166
caucaia,-3.7361,-38.6531,85.95,70,40,scattered clouds,11.5,BR,1651175995
east london,-33.0153,27.9116,66.24,52,0,clear sky,5.93,ZA,1651176167
bonthe,7.5264,-12.505,81.36,80,50,scattered clouds,8.72,SL,1651176167
mehamn,71.0357,27.8492,24.71,70,100,light snow,24.9,NO,1651176167
svetlogorsk,52.6333,29.7333,41.4,68,69,broken clouds,3.6,BY,1651176168
maragogi,-9.0122,-35.2225,78.82,80,100,overcast clouds,10.78,BR,1651176168
saint-hubert,50.05,5.3833,51.62,86,100,overcast clouds,6.04,BE,1651176169
portland,45.5234,-122.6762,55.49,78,100,light rain,8.01,US,1651175952
kholm,59.2667,32.85,30.25,79,69,broken clouds,3.29,RU,1651176170
talnakh,69.4865,88.3972,10.0,93,100,overcast clouds,3.33,RU,1651176107
bambous virieux,-20.3428,57.7575,74.21,76,0,clear sky,2.77,MU,1651176035
